,Cleaned Data
282,"For once, Marsac was staggered."
283,"The paragraph was already in print, and the afternoon papers containing it were being cried on the street."
284,"He read the letter carefully, then laid it down, saying, “It is impossible that he should return."
285,"Living on fifteen cents day for twenty years must have impaired his constitution to that degree that he cannot stand the voyage Fontaine, already in the depths of woe, seemed to sink deeper and deeper."
286,"Not so Marsac, whose cheerfulness never left him."
287,"All day the two friends sat in their garret, unable on account[Pg 52] of Fontaine’s dilapidated clothes and Marsac’s want of shoes to go out and get anything to eat,—for they could still go to restaurant near the newspaper office and get dinner on credit."
288,They both shrank from admitting their necessities by asking for an advance from the business office of their newspaper.
289,"Marsac spent the day in patching and cleaning, with awkward industry, Fontaine’s torn coat and trousers."
290,Never had Fontaine loved and admired him more.
291,"He sang and whistled all day long, made jokes, and pretended that doing without food and fire was rather an amusing experience."
292,At nightfall he held up the torn and soiled coat and trousers for inspection.
293,"The poor fellow had done his best, but they were clearly not presentable."
294,Not even then did his courage and spirits desert him.
295,"He laughed at his own failure, and said gaily,— “Well, my boy, what tale this will make to tell when we get rich![Pg 53] For half the pleasure of rich people consists in telling how happy they were when they had not second shirt to their backs At that moment servant in the establishment opened the door without ceremony, and thrust in huge box, with the name of “Charlevois, Tailor,” on it."
296,"Scarcely was the door shut, when the two young men tore open the box."
297,"There lay several suits of the handsomest mourning clothes imaginable, with hats and gloves to match; and on top of everything was pinned letter."
298,"It was from Charlevois, one of the best tailors in Paris, saying that he had taken the liberty of sending Monsieur Auguste Fontaine several suits of clothes, asking his inspection of them."
299,"He had read in the papers that evening of Monsieur Maurice Fontaine’s death, and would[Pg 54] be glad to supply Monsieur Auguste Fontaine’s mourning."
300,"Also that his son was in the stationery business, and had enclosed some samples of stationery."
301,The two young men gazed intently at each other.
302,"Then, without word, Fontaine, with Marsac’s help, put on an evening suit, and then top-coat, with crape-covered hat and black gloves."
303,He certainly looked very handsome in his new outfit.
304,"It was almost the first time in his life that he had ever been really well dressed, and the elegantly simple costume brought out his aristocratic beauty."
305,Marsac looked at him with the delight of mother over beautiful daughter dressed for her first ball.
306,"Fontaine walked up and down, surveying himself with satisfaction in the cracked mirror."
307,"He examined his old coat and trousers,—they looked worse than ever by comparison."
308,"His silence said eloquently, “I cannot take these gentlemanly habiliments off 55] He put the hat on his ."
309,"With Marsac, he moved toward the door; they paused."
310,"“This is the Rubicon,” said Marsac."
311,"“The Rubicon is passed,” replied Fontaine, stepping out."
312,"They went to the restaurant where they had credit to dinner, and were seen by twenty persons of their acquaintance."
313,"As they approached the desk, on entering, the cashier, handsome girl, was glancing at an afternoon paper containing the paragraph about Uncle Maurice."
314,"She recognised Fontaine, whom she had seen before."
315,"“Do you wish private room, gentlemen?” she asked."
316,"“Certainly,” answered Marsac, solemnly, who had not thought of it before."
317,"“Auguste, you would rather not dine in public to-day?” Fontaine shook his , and the two friends in silence, Fontaine with his eyes bent on the mourning hat he carried, went into private dining-room 56] An obsequious waiter brought card."
318,Marsac ordered an excellent dinner with champagne.
319,When it came the sight of it was almost too much for the poor half-starved young fellows.
320,It was the first time they had really dined in weeks.
321,"They made an excuse to send the waiter out of the room, when they hugged each other and began to dance wildly, and barely had time before he returned to scuttle back to their chairs and pull long faces while they devoured fish, flesh, and fowl, entrées, hors-d’oeuvres, and everything else eatable on the ."
322,"Marsac, in the waiter’s absence, begged Fontaine to spare the candelabra, while Fontaine caught Marsac in the act of chewing the paper off the marrons glacés."
323,"[Pg 57] “This,” said Marsac, while the waiter was out of the room (for they kept him on the trot), “may be called our first dress rehearsal."
324,"We are to appear before the public to-morrow,—you as the heir of your Uncle Maurice, I as the friend of the nephew of his uncle “Do you think we have deceived the waiter?” anxiously asked Fontaine."
325,“Perfectly.
326,He never saw us order such dinner before; but I hope he will see us order good many more like it.
327,"Look solemn—he is coming And the waiter coming in found Marsac urging Fontaine to eat, who seemed to be in the depths of despondency."
328,"When the time came for feeing the man, Fontaine said sadly,— “You, Marsac, must pay to-night."
329,"I forgot I had changed my clothes “Certainly,” replied Marsac, clapping his hand to his pocket and producing the two francs—the last they had on earth, which he had taken the precaution[Pg 58] to bring with him—and handing them to the waiter."
330,Those two francs made everybody in the restaurant believe the story of Fontaine’s fortune.
331,"After the dinner, which lasted for three hours, they went home, and Fontaine wrote note on the black-edged paper to the editor of their paper, “La Lune,” asking for leave of absence for few days, owing to the loss of near relative."
332,Marsac took it to the office.
333,"His fellow-workers crowded round him, asking questions about the paragraph which had appeared that afternoon."
334,"Marsac confirmed it, but declared they had not got any particulars as to the amount of the fortune."
335,"“But I should say it will be under three millions,” he added with entire accuracy."
336,Next day Paris rang with the story.
337,It cannot be denied that both Marsac and Fontaine were little frightened at the sudden and overpowering success of their little romance.
338,They had not[Pg 59] counted upon the instant and enormous sensation it created.
339,But there was now no retreat for them.
340,"Being once committed to Uncle Maurice, they had to abide by their own invention; and it taxed even Marsac’s powers to meet the emergency."
341,"Fontaine simply declared that he could not face the world in his new character, and kept close to his lodgings, to avoid interrogatories."
342,"Naturally that did still more to set the story on its legs; and when he began to receive letters of condolence mixed with congratulations, and was forced to reply to them on paper with black border an inch deep and signed with inky sealing-wax, even he himself began to believe that his Uncle Maurice had died and left him fortune."
343,"Marsac, who was remarkably clever with his brush, made an excellent picture of Uncle Maurice out of the transformed bull-fighter, and by dint of artistically smoking it, the newness of[Pg 60] the paint was taken off."
344,"He was, however, simply forced to invent biography of Uncle Maurice, with names, dates, and events."
345,"The first time he was asked how Uncle Maurice made his money, he was obliged to say how; so he represented that it was all made in the wine-importing line."
346,"“If I had had moment to think, I should have said mining operations,” he said to Fontaine afterward; “but taken unawares, I hit upon the wine-business."
347,"And then I had to explain that he went against the traditions of his family by engaging in trade, but was immensely successful, so they forgave him."
348,"And then I drew noble picture of Uncle Maurice,—for, look you, Fontaine, as we have profited by the old gentleman, the least we can do is to give him good character."
349,I have adorned him with every virtue.
350,"If he could come to life, I am sure he would be pleased with the reputation I have given him [Pg 61] “But, Marsac, he is alive!"
351,That is the maddening part.
352,"Suppose the real Uncle Maurice should come walking in here some fine day,—what would you say?” “I should say, ‘Good morning, Monsieur Fontaine; delighted to see you."
353,Have cigar?
354,"We heard that you were dead And the old gentleman would be so pleased at finding himself alive, that he would forgive us anything Among the first persons to hear the story was Madame Fleury; and the hardest task before Marsac was when he was stopped by her in the entresol, one morning, with an inquiry whether the story was true or not about Fontaine’s uncle’s death."
355,“Alas!
356,"it is only too true,” replied Marsac, sorrowfully."
357,"“I think Monsieur Auguste should have informed me of it,” said Madame Fleury, “considering our relations “Ah, Madame, you, widow, can[Pg 62] have no idea of the bashfulness of young man like Fontaine, in his first love affair."
358,The relations of men and women are so changed now.
359,"I am barely thirty, but I remember when it was the lady who was diffident."
360,"But the last diffident woman, I understand, has been secured for the Jardin des Plantes Madame Fleury heard this with smile playing round her handsome mouth."
361,“I hardly think that the engagement between Monsieur Auguste Fontaine and me can be called love affair.
362,"It was business arrangement, pure and simple."
363,"However, if this story about his Uncle Maurice and his fortune is true, then I shall look forward with more satisfaction than ever to the 15th of May."
364,"But why does not Monsieur Fontaine call to see me occasionally?” “Bashfulness, Madame Fleury,—pure bashfulness."
365,"I tell you, men and women have changed places."
366,"I predict[Pg 63] that in few years young man will no more think of calling on his fiancée than few years back his fiancée would have called on him Madame Fleury heard this, uttered in Marsac’s airiest manner, with the same inscrutable smile."
367,"When Marsac left her presence, after an hour’s laboured explanations, he had not the slightest certainty whether she believed in Uncle Maurice or not."
368,"He rather thought she did not, from her last remark,—which was that if Monsieur Fontaine really had inherited two million francs, she would be glad to have the two hundred he owed her."
369,"However, to have got two hundred francs from Fontaine would have been like getting oysters out of strawberry bed."
370,"As the days went on, he got great many things, like the mourning clothes and black-edged paper; and he was pursued by tradesmen desiring him to open accounts with them."
371,But not franc had he.
372,"His absence from the[Pg 64] newspaper office cut off his small salary there; and while dining at his favourite restaurant every day, smoking the best cigars and enjoying other luxuries, he often had not one sou to rattle against another."
373,"Marsac kept up his courage, though, by telling him that something would soon turn up which would enable them to pay their debts, escape from Madame Fleury’s house, and live like lords."
374,"And when that happy event was accomplished, Marsac promised that Fontaine should be rid of Madame Fleury, and in position to ask the hand of Claire Duval, whom Fontaine grew every day more passionately in love with, although it had been months since he had seen her."
375,"Whenever Fontaine’s courage failed, Marsac always held out to him the hope of marrying Claire."
376,"“Just let me catch old Duval,—I don’t like to go in search of him,”—cried Marsac, “and I will give him such an account of you that he will[Pg 65] be throwing his daughter at your ."
377,"And as she is sweet girl, and I believe is really in love with you, there will be marriage, sure."
378,"The only thing on my conscience is, that I am putting noose around your neck “A noose!"
379,"A garland, you mean!"
380,"Ah, could I live to have Claire for my wife!"
381,"But that infernal widow downstairs—” “Don’t speak of your fiancée in that disrespectful manner,” cried Marsac, at the same time dodging Fontaine’s new hat, which flew in his direction."
382,"[Pg 66] One night about six weeks after Uncle Maurice’s advent, Fontaine was in their garret, waiting for Marsac to return."
383,"The room was as shabby as ever, but Fontaine was dressed in the height of the , although still in the deepest mourning."
384,"His bright face, as he walked about whistling jovially, with his hands in his trousers pockets (which were empty, as usual), was in striking contrast to his livery of woe."
385,"Fontaine occasionally had spasms of fear concerning their ruse; but at twenty-five, with good appetite, and enough to satisfy it, with love and hope and friend like Marsac, one is apt to whistle jovially."
386,"In one corner of the room was with delicious supper set out,—sent from the restaurant, which the two young men patronised liberally."
387,"On the rickety writing- lay letter, bearing the stamp of one of the leading theatres in Paris."
388,"In the intervals of walking about, and wondering why Marsac was so late, Fontaine[Pg 67] would read and re-read this letter, with the most evident delight."
389,"At last, just as Fontaine was beginning to be impatient, in walked Marsac, carrying his violin-case in his hand."
390,"He opened it without word, and took out four bottles of champagne."
391,"Then in solemn silence he removed his tall hat, which proved to be full of flowers, and these he arranged in the middle of the supper- ."
392,"“What are you up to now?” asked Fontaine, in surprise."
393,"“Ladies to supper,” gravely replied Marsac."
394,Fontaine was astounded.
395,"Marsac habitually ran away from respectable women, declaring he was afraid of them; and for those of another kind he had nothing but the pity of [Pg 68] refined and honourable soul, which leaves to harder hearts and more evil natures the condemnation of those who sin because they are sinned against."
396,"Fontaine uttered only one word,— “Ladies!” “Yes,” said Marsac; “that is, they are ladies to me and to you,—for they are women, half-starved and hard-working."
397,What does it matter that they are ballet-girls in third-rate theatre?
398,Listen.
399,"As I was coming home just now, I saw these two poor creatures standing in front of pastry shop close by, eying the cakes in the window, and without sou to buy anything with."
400,"I overheard them, as they sorrowfully recalled that their last franc had gone in white satin shoes for the ballet next week."
401,"I have been hungry[Pg 69] myself, and so have you, and I felt for them in my pockets as well as in my heart; but I had no more money than they."
402,"I had credit, though, thanks to your admirable Uncle Maurice, and good supper at home, and I said to them that for once they should be warmed and filled."
403,"They are of grade in society that is not bound by conventionalities, and were quite willing to go anywhere for good meal."
404,"So I told them to slip by the concierge,—they will be here in few minutes,—and I went and got the wine and the flowers to make it little more of feast for the poor souls; and you and I, Fontaine, will be the better, not the worse, for this night’s work “Marsac, you are the best fellow that ever lived,” cried Fontaine, hugging him."
405,"Fontaine was always hugging Marsac, and Marsac always responded by pat on the , such as father gives small boy."
406,"“And read this letter,” he continued, thrusting the letter[Pg 70] in Marsac’s hand."
407,It ran as follows:— M.
408,Auguste Fontaine.
409,"My dear Sir,—Happening, some days ago, to read an account of your deserved good fortune, I remember having had some correspondence with you regarding play,—“A White Marriage I chanced to look in my box the same day, and there discovered the play itself, where it had lain whole year,— fate most unworthy of its great merit, and which could only have occurred by the most astonishing forgetfulness on my part."
410,"I make you ten thousand apologies, and assure you the loss is mine; for since reading the piece, I beg to have the honour of presenting it at the Gaieté Theatre."
411,"You have written play which must command success; for I cannot understand it, nor can the public, and I presume no more can you."
412,"All you have to do, therefore, is to have it presented, and then sit down and wait for the critics to explain the play to you as to the rest of the world."
413,"Each one is bound to give different explanation; they will get to quarrelling, and your fortune will be made."
414,"It is essential, in the drama of to-day, to be complex; and when you are so complex that nobody, from the author down, knows what the devil play is about, or what[Pg 71] problems you are proving or disproving, you will be placed upon the same pinnacle with Ibsen, Maaterlinck, and the rest of the Dutch Shakspeares."
415,Ibsen or skirt dance is what goes nowadays.
416,"There is slight tendency to clearness in your , which must be remedied if you wish to be really great modern dramatist."
417,"And your play is not really vicious enough: the wife merely gives her husband an opiate while she escapes with her lover, instead of being driven by an imperative fate to give him about quart of corrosive sublimate."
418,"But these are minor faults in work of great villany, obscurity, and prolixity, which I hope to have the privilege of presenting."
419,"Yours truly, M."
420,"Savary, Manager of the Gaieté Theatre."
421,"Fontaine capered about gleefully, while Marsac read this letter, and then handed him another note which seemed to give him almost equal pleasure."
422,"It was from picture-dealer, and briefly announced that an offer of thousand francs had been made for “A Rough Sea,” and he hesitated about taking it: there was price marked on the picture,—fifty[Pg 72] something; it couldn’t be fifty francs!"
423,"“But it was fifty francs, all the same,” cried Marsac; “and thousand francs!"
424,Good heavens!
425,"We shall be as rich as the Rothschilds, and we shall be able to get away from these quarters and that dreadful woman downstairs, and I shall marry you to Claire Duval!” Fontaine’s reply to this was humming little song with refrain, “Claire, I love thee!” which presently made him sigh and look very gloomy."
426,"Marsac, who knew what turn his thoughts were taking, said slyly,— “I met old Duval to-day Fontaine jumped as if he had been shot."
427,“And what did he say?
428,How is Claire?
429,"When are you going to let me out of this infernal confinement, so I can go to see the darling?” “Fie!"
430,fie!
431,"and you an engaged man,” cried Marsac; at which Fontaine groaned and tore his hair."
432,"“But,”[Pg 73] continued Marsac, “I have some good news for you."
433,"Old Duval has read all the accounts of Uncle Maurice, and has the most childlike faith in him; and I declare, Auguste, I begin to believe in the old fellow myself."
434,"Anyhow, Monsieur Duval talked with me whole hour this afternoon, and you may depend upon it I stuffed him; and the result is—now, don’t go crazy—that he more than hinted at match between you and Claire Fontaine fell on the sofa in an ecstasy, murmuring, “Dear, darling Claire!” “And he is coming to see you very soon, to congratulate you."
435,"I told him you were going nowhere on account of your recent bereavement; and, listen to this!"
436,"The old fellow wants to oblige you; and as I mentioned, by way of corroborative testimony, that you were looking round for country-seat, he said he would sell you villa he has at Melun for ninety thousand[Pg 74] francs."
437,"Now, I know that Maurepas, our editor-in-chief, is wild for that villa; and I have reason to think he will give hundred and forty thousand francs for it."
438,"Do you see?” “Yes,” said Fontaine."
439,"“I buy it for ninety thousand, and sell it for hundred and forty thousand."
440,"But will it work?” “Not if you jump down old Duval’s throat when he offers it to you “I sha’n’t be able to prevent it “Then you will be unworthy of your Uncle Maurice, and I shall be sorry to have provided you with such relative A sound was heard outside."
441,"Marsac listened intently, thinking it to be his two friends of the ballet; but it proved not."
442,"“I wonder, as much afraid as you are of women,” said Fontaine, “that you should have had the courage to ask those two poor creatures here even for the pleasure of doing kind action,—for[Pg 75] nothing gives you so much pleasure as that “Pooh!” replied Marsac."
443,"“It is not women I fear, it is matrimony; and I show my regard for the sex by remaining bachelor."
444,"I feel that by not marrying I shall secure one woman, at least, from eternal misery Again there was noise outside the door; and this time it was the two ballet-girls,—Mademoiselle Marie and Mademoiselle Louise, as they introduced themselves."
445,"Marsac received[Pg 76] them with as much kindness and respect as if they had been banker’s daughters; and as for the girls themselves, they were tawdry yet shabby, and extraordinarily painted and bedizened."
446,"But the of woman-hood was not extinguished in them, and modesty itself would not have been abashed in the presence of the four assembled in the garret of No."
447,17 Rue Montignal.
448,"Mademoiselle Marie and Mademoiselle Louise wished to be extremely elegant in the company in which they found themselves; but it must be admitted that they laughed rather loud, and talked excessively."
449,"However, their account of the way in which they slipped past the entresol was very amusing, and the two young men roared with laughter; and then the fun began."
450,"But at the very moment that two corks flew out with loud report, the door came open with bang, and Madame Schmid stalked in."
451,[Pg 77] Not Banquo’s ghost made greater sensation at party than this stout Alsatian.
452,"Fontaine, following his usual tactics, ran behind the screen."
453,"Madame Schmid, with one rapid glance at the and the champagne, uttered but one word, “Thieves!” and made dash for Fontaine, whom she collared and dragged out."
454,"[Pg 78] “Oh, you pretty boy,” she screamed, “this is your poverty,—champagne and oysters and giving parties, when you can’t pay your wash-bill!"
455,"I used to feel sorry for you when you were so poor; but now I know you are rolling in money, with twenty million francs left you in America, and owing poor woman two hundred francs for washing,—that is, you and that slick-tongued Marsac yonder!” Marsac was not “yonder,” but directly behind Madame Schmid, and holding big tumbler of champagne in one hand, while with the other he deftly seized her round the waist, and began pouring the champagne down her throat."
456,"At the same time he was talking her down in vigorous tones, shouting,— “My dear girl, you really oughtn’t to come here."
457,"It will ruin our reputations to have handsome young thing like you found in our apartment Madame Schmid, sputtering, protesting, but obliged to drink the champagne,[Pg 79] willy-nilly, was still able to make good deal of noise."
458,"“Oh, you hypocrite!"
459,"you can’t honeyfuggle me—” Gurgle, gurgle, gurgle, the champagne flowed down her throat."
460,“Honeyfuggle you?
461,"Oh, you bewitching creature, you honeyfuggle me!"
462,"Another glass, Fontaine Another tumbler followed the first, Madame Schmid trying to say, “Stop hugging me, you impudent—” The young ladies enjoyed this excessively; and before the second glass was wholly disposed of, Madame Schmid was struggling with the emotions produced by the champagne, Marsac’s flattery, and wrath at her unpaid bill, but being thrifty Alsatian, the last was by no means forgotten."
463,"Suddenly, amid all the laughing, choking, joking, and commotion, voice was heard calling at the foot of the stairs,— “Monsieur Marsac!"
464,Monsieur Fontaine!
465,open the door and help me up[Pg 80] these confounded narrow stairs!
466,I am not built for such Alpine work as this “Great heavens!
467,"it is old Duval!” exclaimed Fontaine, who had dropped limp into chair at the first sound of this voice."
468,"“Go and keep him below for moment,” said Marsac; and with wonderful quickness he hustled the two girls, nothing loath, into the closet, where they willingly shut the door, tittering at their own predicament."
469,"It was something else, though, to get rid of Madame Schmid."
470,"Marsac had almost to drag her to the corridor door, she fighting like tiger, and Marsac assuring her that it would forever destroy them should young and handsome woman like her be found in their apartment."
471,"Barely was she shoved out, and scarcely had Marsac time to seat himself in meditative attitude with book, when Fontaine, with old Duval, entered; and while greeting him, Marsac[Pg 81] could hear Madame Schmid prancing up and down the corridor in her wrath."
472,"Monsieur Duval, broad, rubicund, benevolent, conceited, and with the true auriferous air which belongs to the vulgar rich, congratulated Fontaine on his accession of fortune."
473,"Fontaine received this modestly, while Marsac eulogised Uncle Maurice and pointed out the goodness indicated in every feature of the portrait hanging on the wall."
474,"“Yes, yes,” said Monsieur Duval, “you have had great stroke of luck, young man; and I hope you will be worthy of it To which Fontaine replied that he hoped to prove himself entirely worthy of his Uncle Maurice’s goodness."
475,"“And now,” cried Monsieur Duval, swelling out his waistcoat, “I must tell you that I have other objects in calling to see you to-night, besides congratulating you on your good fortune 82] One is, to sell you piece of property at Melun; and the other is to ask you both to dine with me at my Passy villa very soon."
476,"I wish you to meet my niece Delphine, who has lately come to live with my daughter and me."
477,"Would to-morrow suit?” “Perfectly,” cried Fontaine, eagerly, but was checked by Marsac with look."
478,"“I think you have the poorest memory I ever saw,” said Marsac, severely, to Fontaine."
479,"“Have you forgotten that to-morrow we dine with the Prince, and next day with the Marshal, the day after with the Archbishop?” Duval, little staggered by these magnificent names, remarked, “I thought you told me to-day that Monsieur Fontaine was not going into society on account of his mourning?” “So he is not,” coolly responded Marsac."
480,"“These are merely little family affairs with people we have always known [Pg 83] This did not make old Duval any the less anxious to have them, and he named day the next week, which Marsac and Fontaine, after an elaborate consultation of their notebooks, finally found they could accept."
481,"“And now about the villa,” said the old brewer, standing with his feet wide apart and his thumbs in his waistcoat pockets."
482,"“It’s very pretty place at Melun; my daughter is very fond of it; and if you are looking for country place, Monsieur Fontaine, you could not do better than take it, at ninety thousand francs Fontaine, remembering Marsac’s injunction not to be too eager, hummed and ha’d little for effect."
483,"He was deeply indebted to Monsieur Duval for his offer; ninety thousand was [Pg 84] mere bagatelle, etc."
484,"Old Duval persisted, and his motive was ridiculously clear; every other word was, “My daughter is fond of the Melun place,”—“My daughter could scarcely be persuaded to leave it even for our finer house at Passy Marsac urged the apparently unwilling Fontaine to accept the offer, mentioning several countesses, duchesses, and princesses of their acquaintance who thought about buying places at Melun."
485,"At every mention of , the old brewer rose to the bait, and was perfectly happy man when Fontaine agreed to take the place at ninety thousand, and expressed his gratitude to Monsieur Duval for favouring him with the purchase."
486,"The old man then got on the subject of his daughter, varied with digressions on his niece Delphine, which seemed to amuse him very much."
487,"“A fine, handsome girl she is, but the ‘new woman’ with vengeance 85] Believes in woman’s having mission, and all that, and is as deadly opposed to matrimony as our friend Marsac,”—at which Monsieur Duval cackled and chuckled with great enjoyment for some time."
488,"“By the way,” he continued, “I expect her and my daughter to call for me on their way from dinner, and they will be here before long."
489,"Monsieur Fontaine, will you oblige me by telling the porter to direct them to wait awhile in case I should not be quite ready to go?” Monsieur Duval had an object in getting Fontaine out of the way, for the moment the door closed upon him, he drew his chair up to Marsac’s, and began very seriously, and mopping his forehead in his anxiety: “You know, Monsieur Marsac, I have always thought extremely well of Monsieur Fontaine; and now that he has come into snug fortune, I should not mind if he—if my daughter—” Here[Pg 86] Monsieur Duval winked, and Marsac grinned appreciatively."
490,"“I understand perfectly,” answered Marsac."
491,"“About ten millions, I hear,” remarked Monsieur Duval, in whisper."
492,"“Oh, no, no!” replied Marsac, deprecatingly."
493,“That is gross exaggeration.
494,"I give you my word, Monsieur Duval, it is nothing like that."
495,"I know more about the matter than anybody except Fontaine, and I assure you that it is but two millions “And how do you think Monsieur Fontaine feels toward my daughter?” Marsac knitted his brows thoughtfully."
496,"“I really don’t know,” he said at last; “I have never heard Fontaine mention Mademoiselle Claire except in general terms; but I know she is very charming girl, and any man might be glad and proud to have her."
497,"But, Monsieur Duval,” said Marsac, confidentially, “you have no idea how the poor fellow has been persecuted with[Pg 87] propositions of the sort since his Uncle Maurice’s death."
498,"At the club the dukes and marquises are sometimes four deep around him, all with an eye on having him for son-in-law; and as for the widows, the poor fellow has had to insure his life against their eating him up This whetted old Duval’s desire considerably."
499,"Marsac, seeing this, kept on."
500,"“Now, here is letter from the Prince de Landais,” taking up Landais’s bill,—“I assure you, neither of us knows the man except in business way—and here he writes, not only wanting Fontaine to marry his daughter, but actually asking for money in advance,—about six hundred and seventy-five francs,—and he takes the tone of person already entitled to it!” “A wretched, aristocratic pauper!” cried old Duval, indignantly."
501,"“At least, the man who marries my Claire will not have worthless father-in-law,[Pg 88] like this Prince de Landais, to prey upon him!” “And here is letter from Madame Schmid, or rather the Baroness Schmid,”—Marsac made this addition, seeing how quickly Monsieur Duval had jumped at every he had named."
502,"“She is very particular about her , because she has just got one."
503,"This woman is great swell, but rude, coarse creature, old enough to be Fontaine’s mother, and was once washerwoman, I am told."
504,"By the way,”—here Marsac put his mouth to old Duval’s ear,—“she comes to this apartment in pursuit of him!"
505,"He keeps out of her way, refuses to answer her letters, and then she pursues him here!"
506,"She was in this room when you were announced below, and it was with the greatest difficulty we got her out."
507,"She is in the corridor still, I believe Marsac rose, and taking the old brewer by the hand, they tipped to[Pg 89] the corridor door."
508,"Monsieur Duval knelt down, and through the keyhole saw Madame Schmid rampaging up and down the corridor like caged lioness."
509,"“Great heavens!” whispered old Duval, “no one can blame Monsieur Fontaine from running away from such woman!” Scarcely were the words out of his mouth, when, Madame Schmid making lunge at the door, it flew open, knocking Monsieur Duval sprawling."
510,"Madame Schmid dashed in, walking over the prostrate Monsieur Duval as if he had been frog, and began to harangue Marsac violently, swinging her arms about like Dutch windmill."
511,"“Oh, you deceiver!"
512,"I know it isn’t worth while to do anything with Monsieur[Pg 90] Fontaine,—you have him under your thumb; but I will bring you both to terms, that I promise you."
513,And where has Monsieur Fontaine gone?
514,"You have spirited him out of the way,—I know it; you do it every time I come!” Marsac’s only reply was to catch her round the waist, and say soothingly, as he dragged her back to the door, “My dear girl, you will certainly ruin Fontaine’s reputation if you act in this manner “I don’t care fig for my reputation,” bawled Madame Schmid,—“it is money I am after; and money I mean to have, out of Monsieur Fontaine!” Marsac managed to get her outside the door, which he took the precaution to lock behind her, and said as he stepped back into the room, “That’s sample of what poor Fontaine has had to put up with since he came into his money."
515,"And there is another one— widow—who is worse than all [Pg 91] “Oh, Jupiter!” was Monsieur Duval’s exclamation, as he picked himself up off the floor, and dusted his knees and elbows."
516,"“A very handsome woman, comtesse,—the Comtesse de Fleury."
517,"She got written promise out of Fontaine, in moment of weakness—you understand?” “Yes— widow and moment of weakness!"
518,"I understand,” said the old brewer, feelingly."
519,"“It isn’t of the slightest legal value, though, as I can testify that it was obtained under duress; and Fontaine would give half he is worth to get rid of her As Marsac said this about the written agreement, he could not help wishing, with all his heart, that he had it that moment in his possession."
520,Monsieur Duval reflected seriously for some minutes before speaking.
521,"“I acknowledge to you,” he said, “that I regard widow in an affair of this sort[Pg 92] as person to be reckoned with; and it is I who tell you so, and I have on my shoulders."
522,"Now, I hear you have great influence with Monsieur Fontaine—” “Not particle,” Marsac protested vigorously."
523,“Nonsense!
524,You are trying to fool me!
525,But I will say this to you.
526,"Taking into account my daughter’s fancy for your friend Fontaine, and his good character and his good birth and his fortune, if you can bring about an—arrangement—you understand—it will be for the happiness of the young people “I would do anything for Fontaine’s happiness,” said Marsac."
527,"“Then, couldn’t you—ahem—the widow—Now, you are yourself very attractive fellow."
528,"Perhaps the widow might make an exchange?” “Take me, do you mean?"
529,"My dear sir, I would do anything on earth for Fontaine but one; and that is, to get married [Pg 93] “Ha!"
530,ha!
531,That’s the way Delphine talks “I haven’t the remotest idea how to make an offer.
532,"It would be like horse trying to play the fiddle “Oh, well, you need not mind about that, with widow."
533,"She will do the business for you “She shall not have chance, if I can help it—that is,” stammered Marsac, as he recollected that Madame Fleury had already proposed to him."
534,"“To be very confidential, this particular widow has—er—before entangling Fontaine—in an interview with me—” Marsac stopped, blushing; and Monsieur Duval, closing one eye, playfully poked him in the ribs."
535,"“My dear young friend,” said he, with an air of superior wisdom, “she did not want you very much, else she would have had[Pg 94] you."
536,Even I have had to use all my astuteness to keep from being gobbled up by widows.
537,Eternal vigilance is the price of liberty where widows are concerned.
538,"But if you won’t listen to my proposition in that respect, I am sure you will to one upon another subject."
539,"I intend, next month, reorganising my breweries into stock company, and I have positive assurances that the shares will command premium."
540,"If you and your friend Fontaine can raise ten thousand francs within the next week, I can let you in on the ground floor; and within three weeks you will make fifty thousand francs each “You shall have my cheque to-morrow morning,” promptly answered Marsac, who had not sou to his credit or in hand."
541,Old Duval then began to examine the room.
542,"The supper- seemed to strike him favourably, but the room did not."
543,"“It seems to me,” he said,[Pg 95] “that—ahem—your friend might have better quarters."
544,"This is pretty high up “Yes,” answered Marsac, “but we remain here on account of the widow, the Comtesse de Fleury; and our surroundings are more valuable than you think, perhaps."
545,"We have been collectors in our time, I assure you."
546,"Do you see that sofa?” “Yes,” said Monsieur Duval, punching the poor old sofa; “but it’s moth-eaten."
547,It ought to be mended here “It would be sacrilege to touch that sofa.
548,It belonged to Peter the Great.
549,He made that hole in it.
550,"I forget exactly what we paid for it, but it is insured for forty thousand francs Monsieur Duval’s mouth came wide open with surprise."
551,"“And this mirror,” kept on Marsac, pursuing his advantage."
552,“It is cracked—but by whom?
553,By Madame Pompadour.
554,"One day, the King was very disobliging to her, and she flew into [Pg 96] passion."
555,"She picked up —” Here Marsac halted, but his eye travelling round the room fell on their rusty bellows; he resumed glibly: “She picked up pair of bellows, and threw them at the King."
556,"His Majesty dodged, and smash went the bellows against the mirror,—and here are the veritable bellows."
557,"The mirror and bellows are worth, together, about twenty-five thousand francs Old Duval examined them with the highest respect."
558,"“I see,” said he, “they are immensely valuable “And do you see this violin?” Marsac handed the old brewer the violin."
559,"“Ah!” cried Monsieur Duval, delighted to show he knew something about violins, “ Stradivarius, perhaps?” “My dear sir,” said Marsac, in tone of pity, “that violin was old when Stradivarius was young."
560,"It is the identical instrument that Nero fiddled on when Rome was burning!” [Pg 97] This reduced Monsieur Duval to an amazed silence, during which they heard laughter and voices on the stairs, and the door opened, admitting Fontaine and two remarkably pretty girls."
